iter	Passed	Remaining
0	922	921794
1	1813	905068
2	2613	868608
3	3594	895067
4	4382	872181
5	5189	859797
6	5900	836981
7	6798	843044
8	7643	841616
9	8770	868286
10	9529	856781
11	10386	855147
12	11184	849171
13	12089	851451
14	13294	872980
15	14284	878499
16	15079	871941
17	15938	869537
18	16830	868967
19	17814	872894
20	18598	867063
21	19490	866459
22	20367	865165
23	21305	866418
24	22178	864946
25	23141	866931
26	24122	869295
27	25005	868049
28	26037	871796
29	27154	877993
30	28179	880825
31	29005	877402
32	30046	880461
33	30997	880685
34	32236	888817
35	33347	892972
36	34326	893408
37	35316	894067
38	36147	890709
39	36830	883934
40	37515	877487
41	38382	875477
42	39256	873686
43	40034	869832
44	40906	868121
45	41794	866774
46	42644	864687
47	43544	863640
48	44431	862324
49	45238	859532
50	46212	859918
51	47152	859630
52	48153	860411
53	49153	861103
54	50343	864998
55	51385	866216
56	52516	868821
57	53691	872024
58	54702	872452
59	55731	873128
60	56834	874886
61	57917	876239
62	59023	877855
63	60007	877609
64	61122	879222
65	62318	881897
66	63533	884723
67	64534	884505
68	65485	883578
69	66690	886025
70	67837	887617
71	68699	885460
72	69416	881496
73	70029	876314
74	70640	871228
75	71258	866351
76	71896	861824
77	72525	857285
78	73105	852274
79	73681	847340
80	74318	843197
81	74892	838430
82	75485	833979
83	76166	830578
84	76828	827033
85	77770	826539
86	78397	822719
87	79078	819537
88	79924	818106
89	80718	816154
90	81438	813494
91	82277	812046
92	83079	810246
93	83927	808921
94	84643	806344
95	85227	802563
96	85967	800299
97	86636	797410
98	87428	795690
99	88228	794058
100	88881	791131
101	89444	787465
102	90061	784321
103	90645	780945
104	91248	777785
105	91809	774316
106	92363	770847
107	92920	767452
108	93449	763885
109	94090	761277
110	94680	758294
111	95233	755065
112	95761	751685
113	96273	748231
114	96845	745289
115	97417	742389
116	97986	739504
117	98545	736587
118	99059	733372
119	99558	730092
120	100100	727179
121	100633	724230
122	101182	721441
123	101810	719243
124	102556	717892
125	103092	715104
126	103958	714610
127	105059	715717
128	106008	715765
129	106719	714197
130	107503	713136
131	108258	711882
132	108988	710472
133	109704	708986
134	110566	708444
135	111324	707236
136	112076	706003
137	112852	704920
138	113595	703641
139	114336	702350
140	115044	700874
141	115736	699307
142	116483	698084
143	117287	697209
144	118087	696307
145	118993	696029
146	119678	694463
147	120329	692705
148	121136	691862
149	121939	690991
150	122706	689920
151	123497	688984
152	124335	688313
153	125169	687620
